epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10092,2.3216337660217286,0.49984,0.0994,4.595335420227051,0.5025
1,0.1455,2.281304347076416,0.58804,0.1001,9.342757389831544,0.5098
2,0.1561,2.274860249557495,0.6066,0.1001,9.429101932525635,0.5089
3,0.16156,2.2711161881256103,0.61968,0.1001,9.340543200683594,0.5105
4,0.16732,2.2687285425567625,0.62666,0.1001,9.336962979125977,0.5072
5,0.17094,2.2668073937988282,0.63112,0.1002,9.320560693359376,0.5071
6,0.17494,2.265333746185303,0.63578,0.1001,9.35237526550293,0.505
7,0.17536,2.264024207687378,0.63956,0.1001,9.329523495483398,0.5051
8,0.17616,2.2629199883270266,0.64184,0.1001,9.31843999786377,0.5059
9,0.17926,2.261913281021118,0.64598,0.1002,9.325530856323242,0.5056
10,0.18124,2.2611206158447263,0.64682,0.1003,9.330657092285156,0.5067
11,0.18122,2.260403443069458,0.64904,0.1003,9.31725673828125,0.5071
12,0.18262,2.2596858674621583,0.65112,0.1003,9.305594592285157,0.5064
13,0.18404,2.259009153671265,0.6544,0.1003,9.317383952331543,0.5063
14,0.18552,2.2583309230041504,0.6556,0.1003,9.308069830322266,0.5051
